www2024-07-02 16:47:06 INFO  c.A.ApiProject.ApiProjectApplication - Starting ApiProjectApplication using Java 22.0.1 with PID 260004 (/home/mohit.kumar/Documents/ApiProject/target/classes started by mohit.kumar in /home/mohit.kumar/Documents/ApiProject)
2024-07-02 16:58:45 WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'GET' is not supported]
2024-07-02 16:59:54 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-07-02 16:59:54 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-07-02 16:59:54 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-07-02 16:59:56 INFO  c.A.ApiProject.ApiProjectApplication - Starting ApiProjectApplication using Java 22.0.1 with PID 265900 (/home/mohit.kumar/Documents/ApiProject/target/classes started by mohit.kumar in /home/mohit.kumar/Documents/ApiProject)
2024-07-02 16:59:56 INFO  c.A.ApiProject.ApiProjectApplication - No active profile set, falling back to 1 default profile: "default"
2024-07-02 16:59:57 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-07-02 16:59:57 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 32 ms. Found 3 JPA repository interfaces.
2024-07-02 16:59:57 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-07-02 16:59:57 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-07-02 16:59:57 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-07-02 16:59:57 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.25]
2024-07-02 16:59:57 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-07-02 16:59:57 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1106 ms
2024-07-02 16:59:58 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-07-02 16:59:58 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
2024-07-02 16:59:58 INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-07-02 16:59:58 INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-07-02 16:59:58 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-07-02 16:59:58 INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@36238b12
2024-07-02 16:59:58 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
